SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
778,127138,18,127138,77,7125,20,7125
519,71971,25,71971,93,7120,32,7120
1966,241645,52,241645,100,7206,20,7206
715,128376,16,128376,64,7092,14,7092
2210,227869,35,227869,103,7090,30,7090
634,80361,6,80361,95,7105,11,7105
5472,669063,120,669063,79,7101,15,7101
1360,157536,13,157536,119,7092,11,7092
2313,375808,30,375808,102,7212,21,7212
884,113037,8,113037,83,7090,20,7090
929,164914,16,164914,77,7083,24,7083
801,114510,10,114510,100,7147,14,7147
1566,165299,11,165299,109,7128,15,7128
915,152391,23,152391,68,7051,24,7051
1409,200951,18,200951,67,7119,15,7119
559,58343,11,58343,100,7132,26,7132
3412,456809,19,456809,86,7033,22,7033
593,88193,28,88193,68,7170,20,7170
645,131411,11,131411,95,7091,14,7091
4375,511535,60,511535,101,7087,33,7087
754,124400,12,124400,78,7006,13,7006
900,118721,14,118721,94,7174,17,7174
480,87773,8,87773,77,7093,19,7093
3314,543746,19,543746,80,7100,15,7100
1225,148294,32,148294,107,7166,25,7166
658,99407,9,99407,81,7104,13,7104
899,130268,18,130268,99,7075,19,7075
2112,386319,53,386319,91,7156,29,7156
992,113053,12,113053,106,7137,14,7137
768,112252,7,112252,79,7129,18,7129
911,111200,13,111200,89,7058,20,7058
796,93818,10,93818,89,7113,22,7113
1372,183794,15,183794,80,7071,11,7071
477,89643,13,89643,87,7027,15,7027
769,124923,8,124923,80,7035,16,7035
3171,506037,59,506037,77,7167,25,7167
1290,126965,5,126965,109,7139,10,7139
1467,236563,28,236563,81,7097,12,7097
1601,172700,31,172700,106,7179,27,7179
519,78041,16,78041,74,7094,26,7094
832,112481,7,112481,80,7093,23,7093
886,115840,21,115840,77,7116,15,7116
506,80432,11,80432,69,7019,28,7019
7723,958212,62,958212,87,7159,29,7159
1256,221026,14,221026,75,7220,18,7220
1863,270623,41,270623,110,7107,21,7107
571,80082,7,80082,79,7125,14,7125
2579,342216,33,342216,88,7097,17,7097
423,62176,7,62176,74,7226,21,7226
2862,455623,28,455623,80,7071,19,7071
1173,169174,9,169174,90,7111,16,7111
1362,218015,22,218015,92,7137,18,7137
2417,299424,15,299424,85,7028,13,7028
1912,273710,28,273710,84,7079,23,7079
291,47739,15,47739,80,7042,20,7042
1208,184058,15,184058,74,7122,16,7122
1253,236681,18,236681,78,7183,17,7183
573,74976,10,74976,101,7209,19,7209
827,137362,11,137362,84,7141,20,7141
2055,308467,23,308467,83,7169,20,7169
895,139381,14,139381,69,7086,12,7086
1304,161794,10,161794,87,7026,11,7026
599,101239,12,101239,79,7128,12,7128
617,112022,5,112022,81,7148,10,7148
725,72225,11,72225,126,7103,24,7103
617,89905,8,89905,89,7171,14,7171
3674,485410,35,485410,94,7032,22,7032
6556,812092,73,812092,136,7129,17,7129
3428,503685,33,503685,101,7178,23,7178
3240,503098,38,503098,95,7012,27,7012
1339,198697,21,198697,71,7136,25,7136
1061,131895,12,131895,96,7158,19,7158
2837,419480,31,419480,110,7123,20,7123
373,87923,6,87923,65,7130,14,7130
1419,185772,45,185772,115,7118,30,7118
2237,307847,81,307847,109,7105,11,7105
1035,194608,36,194608,77,7127,23,7127
973,155750,11,155750,75,7127,12,7127
1173,159557,12,159557,97,7088,26,7088
